代號,名稱,開盤,最高,最低,收盤,成交量
'733545,凡甲永豐76購01,0.03,0.03,0.03,0.03,0
'733546,勝麗永豐76購01,0.04,0.04,0.04,0.04,0
'733547,金山電元富76購01,0.43,0.43,0.43,0.43,0
'733548,金居元富77購01,0.14,0.14,0.14,0.14,0
'733549,智擎元富76購01,0.04,0.04,0.04,0.04,0
'733550,昂寶富邦76購01,0.16,0.16,0.16,0.16,0
'733551,岳豐日盛76購01,0.02,0.02,0.02,0.02,0
'733552,同致統一78購01,0.02,0.02,0.02,0.02,260
'733553,富喬統一78購01,0.37,0.37,0.35,0.36,327
'733554,聖暉兆豐76購01,0.59,0.61,0.56,0.56,80
'733555,金山電台新76購01,0.18,0.18,0.18,0.18,0
'733556,IET群益76購01,0.03,0.03,0.03,0.03,0
'733557,聯亞群益77購01,0.1,0.1,0.1,0.1,300
'733558,久元凱基76購01,0.04,0.04,0.04,0.04,0
'733559,久元凱基76購02,0.01,0.01,0.01,0.01,0
'733560,金山電凱基76購01,0.11,0.18,0.11,0.18,40
'733561,富喬元大77購01,0.73,0.73,0.73,0.73,18
'733562,精華元大76購01,0.02,0.02,0.02,0.02,0
'733563,群聯國泰76購01,0.02,0.02,0.02,0.02,0
'733564,台半元富76購01,0.28,0.36,0.28,0.36,62
'733565,神盾富邦7C購01,0.11,0.13,0.1,0.13,152
'733566,IET永豐76購01,0.01,0.01,0.01,0.01,0
'733567,大中永豐76購01,0.04,0.04,0.04,0.04,0
'733568,昂寶永豐76購01,0.01,0.01,0.01,0.01,0
'733569,凱美永豐76購01,1.39,1.39,1.34,1.34,50
'733570,富喬台新78購02,0.71,0.71,0.71,0.71,0
'733571,IET元大76購01,0.07,0.07,0.07,0.07,0
'733572,友華元大76購01,0.02,0.02,0.02,0.02,0
'733573,立端元大76購01,0.03,0.03,0.03,0.03,0
'733574,朋程元大76購01,0.04,0.04,0.04,0.04,0
'733575,美磊元大76購01,4.66,4.66,4.66,4.66,0
'733576,新漢元大76購01,0.02,0.02,0.02,0.02,0
'733577,恒耀元大76購01,0.37,0.37,0.37,0.37,0
'733578,環球晶日盛76購01,3.09,3.09,3.09,3.09,0
'733579,精測兆豐77購01,0.02,0.02,0.02,0.02,0
'733580,大江國票76購01,1.47,1.47,1.47,1.47,10
'733581,台半國票76購01,0.52,0.52,0.52,0.52,0
'733582,宜鼎國票76購01,1.18,1.18,1.1,1.1,3
'733583,光燿科國泰76購01,0.01,0.01,0.01,0.01,0
'733584,群聯國泰77購02,0.27,0.27,0.22,0.23,765
'733585,牧德元富76購01,10.6,10.6,10.6,10.6,0
'733586,牧德兆豐76購01,6.75,6.75,6.75,6.75,0
'733587,威剛兆豐77購01,0.04,0.04,0.04,0.04,0
'733588,大江中信76購01,2.87,2.87,2.87,2.87,0
'733589,同致中信78購01,0.02,0.02,0.02,0.02,0
'733590,神盾群益76購01,0.02,0.02,0.02,0.02,0
'733591,台半永豐76購01,0.02,0.02,0.02,0.02,0
'733592,宇隆永豐76購01,0.02,0.02,0.02,0.02,0
'733593,牧德永豐76購01,7.3,7.3,7.1,7.1,12
'733594,威剛永豐76購01,0.01,0.01,0.01,0.01,0
'733595,晶焱永豐76購01,0.75,0.75,0.75,0.75,0
'733596,雙鴻永豐76購01,0.02,0.02,0.02,0.02,48
'733597,台燿國票76購01,0.88,0.88,0.88,0.88,0
'733598,昂寶國票76購01,0.46,0.46,0.46,0.46,0
'733599,神盾凱基76購01,0.01,0.01,0.01,0.01,0
'733600,群聯凱基76購01,0.1,0.1,0.1,0.1,0
'733601,欣銓元大76購01,0.02,0.02,0.02,0.02,50
'733602,碩禾元大79購01,0.05,0.05,0.05,0.05,0
'733603,精測元大76購03,0.02,0.02,0.02,0.02,0
'733604,精華元大76購02,0.01,0.01,0.01,0.01,0
'733605,VHQ國泰7C購01,0.96,0.96,0.96,0.96,0
'733606,良維國泰7A購01,0.13,0.13,0.13,0.13,0
'733607,邦特國泰78購01,1.82,2.02,1.82,2.02,90
'733608,群聯玉山79購01,0.4,0.4,0.4,0.4,74
'733609,宇峻群益77購01,0.27,0.27,0.27,0.27,0
'733610,威剛永豐76購02,0.01,0.01,0.01,0.01,0
'733611,統新永豐76購01,0.03,0.03,0.03,0.03,0
'733612,凱美永豐76購02,0.25,0.25,0.25,0.25,11
'733613,萬潤永豐76購01,0.01,0.01,0.01,0.01,0
'733614,聯亞元大78購01,0.11,0.11,0.11,0.11,0
'733615,東洋國票76購01,0.01,0.01,0.01,0.01,0
'733617,精測凱基76購01,0.06,0.06,0.06,0.06,0
'733618,智擎日盛76購01,0.02,0.02,0.02,0.02,0
'733619,應華日盛76購01,0.02,0.02,0.02,0.02,0
'733620,元太富邦76購01,0.01,0.01,0.01,0.01,0
'733621,東洋富邦76購01,0.14,0.14,0.14,0.14,0
'733622,金居富邦7A購01,0.41,0.41,0.41,0.41,0
'733623,合晶永豐76購01,3.85,3.85,3.85,3.85,0
'733624,合晶永豐76購02,3.24,3.24,3.24,3.24,0
'733625,群聯永豐76購03,0.02,0.02,0.02,0.02,0
'733626,合晶群益76購03,4.04,4.04,4.04,4.04,0
'733627,穩懋群益76購03,0.1,0.1,0.09,0.1,96
'733628,網家台新78購01,0.7,0.79,0.7,0.79,130
'733629,合晶國票76購01,3.57,3.57,3.57,3.57,0
'733630,宇隆凱基76購01,0.22,0.22,0.22,0.22,0
'733631,邦特凱基76購01,1.19,1.19,1.17,1.17,12
'733632,合晶元大77購01,3.92,4.06,3.92,4.06,120
