代號,名稱,開盤,最高,最低,收盤,成交量
'070565,富邦金元大76購03,0.04,0.04,0.04,0.04,0
'070566,神基元大76購01,0.1,0.1,0.1,0.1,10
'070567,大立光元大76購15,0.66,0.88,0.63,0.88,290
'070568,大立光元大77購02,0.66,0.7,0.66,0.68,61
'070569,智原元大77購01,0.93,0.96,0.91,0.91,120
'07056P,康友元大79售02,0.92,0.92,0.89,0.89,534
'070570,欣興元大76購02,0.1,0.12,0.1,0.12,9
'070571,創意元大76購03,0.06,0.06,0.06,0.06,0
'070572,緯創兆豐76購01,0.16,0.16,0.16,0.16,0
'070573,台郡兆豐77購01,0.08,0.08,0.07,0.07,20
'070574,華新國票76購02,3.41,3.41,3.41,3.41,0
'070575,美律國票76購01,0.01,0.01,0.01,0.01,0
'070576,聯發科中信78購02,2.35,2.37,2.35,2.37,26
'070577,敦泰中信76購01,0.18,0.18,0.18,0.18,0
'070578,儒鴻台新77購01,2.13,2.13,2.13,2.13,3
'070579,台勝科台新76購01,4.51,4.51,4.51,4.51,0
'07057P,台灣50群益7B售01,1.11,1.11,1.06,1.06,353
'070580,GIS台新78購01,0.31,0.31,0.31,0.31,0
'070581,聯發科永豐76購01,0.44,0.44,0.44,0.44,10
'070582,嘉聯益永豐76購02,2.24,2.24,2.24,2.24,0
'070583,台灣50康和76購01,0.39,0.39,0.39,0.39,10
'070584,南亞科國泰77購01,1.71,1.71,1.71,1.71,0
'070585,鴻海富邦76購07,0.08,0.08,0.08,0.08,0
'070586,台積電富邦76購03,0.53,0.53,0.53,0.53,0
'070587,聯發科富邦76購07,1.72,1.72,1.72,1.72,0
'070588,大立光富邦76購12,0.55,0.62,0.52,0.62,18
'070589,台勝科富邦76購01,5.2,5.2,5.2,5.2,0
'07058P,滬深2X群益7C售01,0.58,0.58,0.58,0.58,10
'070590,台灣50元富78購01,0.76,0.84,0.76,0.84,103
'070591,A50正2元富76購01,0.04,0.04,0.04,0.04,0
'070592,華新元富76購01,2.85,2.85,2.85,2.85,0
'070593,南亞科元富76購02,1.23,1.32,1.23,1.32,35
'070594,建準元富76購01,0.01,0.01,0.01,0.01,0
'070595,神基元富76購01,0.08,0.08,0.08,0.08,0
